source,target
"woulld","would"
"wtas","was"
"wth","with"
"wtith","with"
"wtlich","which"
"wlich","which"
"xvill","will"
"xvith","with"
"yery","very"
"yicld","yield"
"allce","ance"
"allces","ances"
"allv","ally"
"atlce","ance"
"atlces","ances"
"atlt","ant"
"calne","came"
"creafing","creasing"
"eitler","either"
"ellt","ent"
"ellts","ents"
"elnt","ent"
"elnts","ents"
"en-t","ent"
"en-ts","ents"
"erlt","ent"
"erlts","ents"
"ernt","ent"
"ernts","ents"
"etlt","ent"
"etlts","ents"
"iiig","ing"
"iilg","ing"
"iing","ing"
"illg","ing"
"illgs","ings"
"ilng","ing"
"ilngs","ings"
"imlum","imum"
"inig","ing"
"inigs","ings"
"inlg","ing"
"inlgs","ings"
"ioii","ion"
"ioiis","ions"
"ioil","ion"
"ioils","ions"
"ioin","ion"
"ioins","ions"
"ioin","ion"
"ioins","ions"
"ioll","ion"
"iolls","ions"
"ionn","ion"
"ionns","ions"
"iotn","ion"
"iorl","ion"
"iorls","ions"
"iorn","ion"
"iorns","ions"
"iotns","ions"
"irlg","ing"
"irlgs","ings"
"irng","ing"
"isll","ish"
"itlg","ing"
"itng","ing"
"itv","ity"
"iveiy","ively"
"lltly","ntly"
"meIlt","ment"
"meIlts","ments"
"melit","ment"
"melits","ments"
"merlt","ment"
"merlts","ments"
"mlent","ment"
"mlents","ments"
"mneter","meter"
"mneters","meters"
"ncss","ness"
"nefs","ness"
"nmeter","meter"
"nmeters","meters"
"ovv","ow"
"rnent","ment"
"rnents","ments"
"selvcs","selves"
"thougll","though"
"tiolz","tions"
"tiotl","tion"
"tiotls","tions"
"tlgh","ugh"
"tltly","ntly"
"ulgh","ugh"
"ullv","ully"
"utn","um"
" -and"," and"
",-and",", and"
"; -and","; and"
".-and",". and"
":-and",": and"
" -in"," in"
",-in",", in"
";-in","; in"
".-in",". in"
":-in",": in"
"-In"," In"
" -of"," of"
",-of",", of"
";-of","; of"
" -to"," to"
",-to",", to"
";-to","; to"
" t his"," this"
"-also"," also"
"-any"," any"
"-had"," had"
"-has"," has"
"-have"," have"
"-nanner"," manner"
"-more"," more"
"-the"," the"
"-their"," their"
"-then"," then"
"-they"," they"
"-we"," we"
"-were"," were"
"-will"," will"
"'at"," at"
"'by"," by"
"'from"," from"
"'in"," in"
"'have"," have"
"'the"," the"
"'to"," to"
"'which"," which"
"'will"," will"
"'with"," with"
